document,candidates,top1_match,top_5_match,top_10_match,pos_1st_match,query_terms,full_query_terms,iteration,term_field,document_field,query_terms_ratio,memory_size
4451849,601,0,0,0,-1,0,13,1,track,user,0.8,4
4462915,482,0,0,0,-1,5,94,1,track,user,0.8,4
4473534,601,0,0,0,-1,0,27,1,track,user,0.8,4
4476362,601,0,0,0,-1,0,23,1,track,user,0.8,4
4476862,601,0,0,0,-1,0,15,1,track,user,0.8,4
4484499,586,0,0,0,-1,9,77,1,track,user,0.8,4
4496879,601,0,0,0,-1,0,24,1,track,user,0.8,4
4519499,204,0,0,0,19,4,49,1,track,user,0.8,4
4525137,601,0,0,0,-1,0,31,1,track,user,0.8,4
4537974,601,0,0,0,-1,0,25,1,track,user,0.8,4
4551621,601,0,0,0,-1,0,11,1,track,user,0.8,4
4578864,108,0,0,0,-1,2,25,1,track,user,0.8,4
4597941,601,0,0,0,-1,0,44,1,track,user,0.8,4
4611938,601,0,0,0,-1,0,9,1,track,user,0.8,4
4630983,0,0,0,0,-1,4,44,1,track,user,0.8,4
4645264,601,0,0,0,-1,0,17,1,track,user,0.8,4
4668278,50,0,0,0,-1,1,26,1,track,user,0.8,4
4675107,243,0,0,0,-1,1,38,1,track,user,0.8,4
4695327,167,1,1,1,1,3,80,1,track,user,0.8,4
4713476,79,0,0,0,-1,2,38,1,track,user,0.8,4
4733116,601,0,0,0,-1,0,22,1,track,user,0.8,4
4741560,0,0,0,0,-1,1,35,1,track,user,0.8,4
4894587,296,0,1,1,2,13,79,1,track,user,0.8,4
4916762,601,0,0,0,-1,0,8,1,track,user,0.8,4
4921390,55,0,0,0,-1,5,50,1,track,user,0.8,4
4927627,601,0,0,0,-1,0,6,1,track,user,0.8,4
4929141,82,0,0,0,-1,4,34,1,track,user,0.8,4
4931051,424,0,0,0,-1,10,58,1,track,user,0.8,4
4936109,95,0,0,0,-1,1,13,1,track,user,0.8,4
4951829,601,0,0,0,-1,0,8,1,track,user,0.8,4
4993737,604,0,0,0,-1,1,15,1,track,user,0.8,4
5020639,601,0,0,0,-1,0,6,1,track,user,0.8,4
5027948,601,0,0,0,-1,0,10,1,track,user,0.8,4
5033994,0,0,0,0,-1,4,79,1,track,user,0.8,4
5039367,50,0,0,0,-1,2,50,1,track,user,0.8,4
5041046,127,0,0,0,-1,2,36,1,track,user,0.8,4
5051020,601,0,0,0,-1,0,9,1,track,user,0.8,4
5052866,79,0,0,0,-1,1,14,1,track,user,0.8,4
5060760,601,0,0,0,-1,0,7,1,track,user,0.8,4
